Date Time,Dataset,Use Numeric attributes?,Attribute Name,Is the Attribute Numeric?,Number of Different Values (only for Nominal Attributes),Total Number of Samples,Trial Number,Criterion,Maximum Depth Allowed,Total Number of folds,Fold Number,Is stratified?,Number of Samples Forcing a Leaf,Use Min Samples in Second Largest Class?,Min Samples in Second Largest Class,Uses Chi-Square Test,Maximum p-value Allowed by Chi-Square Test [between 0 and 1],Minimum Number in Second Most Frequent Value,Number of Attributes in Dataset,Number of Valid Attributes in Dataset (m),Number of Valid Nominal Attributes in Dataset (m_nom),Number of Valid Numeric Attributes in Dataset (m_num),Total Number of Inversions (pairs),Total Number of Ties (pairs),Total Number of Correct (pairs),Criterion Value in Root Node,Total Time Taken for Current Fold [s],Accuracy Percentage on Trivial Trees (with no splits),Accuracy Percentage (with missing values),Accuracy Percentage (without missing values),Number of Samples Classified using Unkown Value,Percentage of Samples with Unkown Values for Accepted Attribute,Number of Nodes (after prunning),Tree Depth (after prunning),Number of Nodes Pruned
2017-05-04 10:34:49.956215,Mushroom,False,cap-surface,False,4,2817,1,GW Squared Gini,2,3,2,True,1,False,None,True,0.1,40,23,19,19,0,19.0,11.0,141.0,392351.0,0.031815341999958946,63.045793397231094,63.045793397231094,63.045793397231094,0,0.0,1,0,4
2017-05-04 10:34:49.956243,Mushroom,False,cap-color,False,10,2817,1,GW Squared Gini,2,3,2,True,1,False,None,True,0.1,40,23,19,19,0,19.0,11.0,141.0,464895.0,0.06481333399995037,63.045793397231094,71.24600638977635,71.24600638977635,0,0.0,5,2,2
2017-05-04 10:34:49.956265,Mushroom,False,bruises?,False,2,2817,1,GW Squared Gini,2,3,2,True,1,False,None,True,0.1,40,23,19,19,0,19.0,11.0,141.0,493110.0,0.011941610999997465,63.045793397231094,72.20447284345047,72.20447284345047,0,0.0,3,1,0
2017-05-04 10:34:49.956287,Mushroom,False,odor,False,9,2817,1,GW Squared Gini,2,3,2,True,1,False,None,True,0.1,40,23,19,19,0,19.0,11.0,141.0,792765.0,0.04132887900004789,63.045793397231094,98.18956336528221,98.18956336528221,0,0.0,3,1,4
2017-05-04 10:34:49.956310,Mushroom,False,gill-spacing,False,2,2817,1,GW Squared Gini,2,3,2,True,1,False,None,True,0.1,40,23,19,19,0,19.0,11.0,141.0,224565.0,0.011602630999959729,63.045793397231094,63.045793397231094,63.045793397231094,0,0.0,1,0,2
2017-05-04 10:34:49.956331,Mushroom,False,gill-size,False,2,2817,1,GW Squared Gini,2,3,2,True,1,False,None,True,0.1,40,23,19,19,0,19.0,11.0,141.0,205274.0,0.01191144400002031,63.045793397231094,67.09265175718849,67.09265175718849,0,0.0,3,1,0
2017-05-04 10:34:49.956351,Mushroom,False,gill-color,False,12,2817,1,GW Squared Gini,2,3,2,True,1,False,None,True,0.1,40,23,19,19,0,19.0,11.0,141.0,503370.0,0.07563398499996765,63.045793397231094,75.1863684771033,75.1863684771033,0,0.0,5,2,2
2017-05-04 10:34:49.956371,Mushroom,False,stalk-shape,False,2,2817,1,GW Squared Gini,2,3,2,True,1,False,None,True,0.1,40,23,19,19,0,19.0,11.0,141.0,557763.0,0.012563449000026594,63.045793397231094,80.40468583599574,80.40468583599574,0,0.0,3,1,0
2017-05-04 10:34:49.956392,Mushroom,False,stalk-root,False,4,2817,1,GW Squared Gini,2,3,2,True,1,False,None,True,0.1,40,23,19,19,0,19.0,11.0,141.0,361677.0,0.02268798100010372,63.045793397231094,63.045793397231094,63.045793397231094,0,0.0,1,0,4
2017-05-04 10:34:49.956412,Mushroom,False,stalk-surface-above-ring,False,4,2817,1,GW Squared Gini,2,3,2,True,1,False,None,True,0.1,40,23,19,19,0,19.0,11.0,141.0,533695.0,0.029869697999970413,63.045793397231094,86.04898828541,86.04898828541,0,0.0,5,2,0
2017-05-04 10:34:49.956438,Mushroom,False,stalk-surface-below-ring,False,4,2817,1,GW Squared Gini,2,3,2,True,1,False,None,True,0.1,40,23,19,19,0,19.0,11.0,141.0,524895.0,0.0234778940000524,63.045793397231094,85.3035143769968,85.3035143769968,0,0.0,5,2,0
2017-05-04 10:34:49.956461,Mushroom,False,stalk-color-above-ring,False,7,2817,1,GW Squared Gini,2,3,2,True,1,False,None,True,0.1,40,23,19,19,0,19.0,11.0,141.0,472230.0,0.11675569099998029,63.045793397231094,79.02023429179978,79.02023429179978,0,0.0,5,2,2
2017-05-04 10:34:49.956481,Mushroom,False,stalk-color-below-ring,False,7,2817,1,GW Squared Gini,2,3,2,True,1,False,None,True,0.1,40,23,19,19,0,19.0,11.0,141.0,473550.0,0.11794308200001069,63.045793397231094,77.63578274760384,77.63578274760384,0,0.0,5,2,2
2017-05-04 10:34:49.956501,Mushroom,False,ring-number,False,3,2817,1,GW Squared Gini,2,3,2,True,1,False,None,True,0.1,40,23,19,19,0,19.0,11.0,141.0,49986.0,0.01299893600003088,63.045793397231094,64.53674121405751,64.53674121405751,0,0.0,3,1,0
2017-05-04 10:34:49.956522,Mushroom,False,ring-type,False,4,2817,1,GW Squared Gini,2,3,2,True,1,False,None,True,0.1,40,23,19,19,0,19.0,11.0,141.0,507180.0,0.0229128099999798,63.045793397231094,86.04898828541,86.04898828541,0,0.0,3,1,2
2017-05-04 10:34:49.956541,Mushroom,False,spore-print-color,False,6,2817,1,GW Squared Gini,2,3,2,True,1,False,None,True,0.1,40,23,19,19,0,19.0,11.0,141.0,638913.0,0.048265639999954146,63.045793397231094,90.84132055378062,90.84132055378062,0,0.0,5,2,0
2017-05-04 10:34:49.956562,Mushroom,False,population,False,6,2817,1,GW Squared Gini,2,3,2,True,1,False,None,True,0.1,40,23,19,19,0,19.0,11.0,141.0,418905.0,0.03125823900006708,63.045793397231094,63.045793397231094,63.045793397231094,0,0.0,1,0,4
2017-05-04 10:34:49.956581,Mushroom,False,habitat,False,6,2817,1,GW Squared Gini,2,3,2,True,1,False,None,True,0.1,40,23,19,19,0,19.0,11.0,141.0,446873.0,0.04596950099994501,63.045793397231094,70.50053248136315,70.50053248136315,0,0.0,5,2,2
2017-05-04 10:34:50.667739,Mushroom,False,cap-shape,False,6,2817,1,GW Squared Gini,2,3,3,True,1,False,None,True,0.1,40,23,19,19,0,17.0,11.0,143.0,411745.0,0.054039091000049666,63.11300639658849,63.11300639658849,63.11300639658849,0,0.0,1,0,4
2017-05-04 10:34:50.667828,Mushroom,False,cap-surface,False,4,2817,1,GW Squared Gini,2,3,3,True,1,False,None,True,0.1,40,23,19,19,0,17.0,11.0,143.0,393018.0,0.021168659000068146,63.11300639658849,63.11300639658849,63.11300639658849,0,0.0,1,0,4
2017-05-04 10:34:50.667855,Mushroom,False,cap-color,False,10,2817,1,GW Squared Gini,2,3,3,True,1,False,None,True,0.1,40,23,19,19,0,17.0,11.0,143.0,479324.0,0.0728408390000368,63.11300639658849,71.42857142857143,71.42857142857143,0,0.0,5,2,2
