Dataset,Attribute,Criterion Difference Name,Paired t-statistics on Accuracy with Missing Values,Degrees of Freedom of Accuracy with Missing Values,P-value t-statistics on Accuracy with Missing Values,Paired t-statistics on Accuracy without Missing Values,P-value t-statistics on Accuracy without Missing Values,Degrees of Freedom of Accuracy without Missing Values,Paired t-statistics on Number of Nodes,P-value t-statistics on Number of Nodes,Degrees of Freedom of Number of Nodes
KDD98 Multiclass 3,STEREO,LS Squared Gini - Twoing,None,0,None,None,0,None,None,None,0
KDD98 Multiclass 3,STEREO,LS Chi Square - Twoing,None,0,None,None,0,None,None,None,0
KDD98 Multiclass 3,RFA_16,LS Squared Gini - LS Chi Square,1.4690140704507222,29,0.0762970944608,1.4706048031826107,29,0.0760829527055,-1.873822500220295,0.964468301594,29
KDD98 Multiclass 3,RFA_16,LS Squared Gini - Twoing,3.6004851603354187,29,0.000584672467973,3.5970527049130654,29,0.000590013029808,-6.528356086977837,0.999999811021,29
KDD98 Multiclass 3,RFA_16,LS Chi Square - Twoing,1.08864373280077,29,0.14263783987,1.0902938526811299,29,0.14228026622,-4.738313297284785,0.999973762197,29
KDD98 Multiclass 3,RFA_22,LS Squared Gini - LS Chi Square,-1.8234651684662593,29,0.960721930806,-1.8251901089010407,29,0.960855650074,0.0,0.5,29
KDD98 Multiclass 3,RFA_22,LS Squared Gini - Twoing,0.12346706332544166,29,0.451294508331,0.12430377629916818,29,0.450966188827,-7.883074092183654,0.99999999461,29
KDD98 Multiclass 3,RFA_22,LS Chi Square - Twoing,1.5043573068532912,29,0.0716517787205,1.5062892361633682,29,0.0714045814301,-5.385164807134504,0.999995650262,29
KDD98 Multiclass 3,PCOWNERS,LS Squared Gini - LS Chi Square,0.0,22,100.0,0.0,22,100.0,0.0,100.0,22
KDD98 Multiclass 3,PCOWNERS,LS Squared Gini - Twoing,0.0,22,100.0,0.0,22,100.0,0.0,100.0,22
KDD98 Multiclass 3,PCOWNERS,LS Chi Square - Twoing,0.0,22,100.0,0.0,22,100.0,0.0,100.0,22
KDD98 Multiclass 3,STATE,LS Squared Gini - LS Chi Square,-0.5536452925313516,13,0.705391106648,-0.5528153022446736,13,0.705115115156,0.0,100.0,13
KDD98 Multiclass 3,STATE,LS Squared Gini - Twoing,-1.474668391079568,13,0.917947884177,-1.4201425908930612,13,0.910448864338,4.163331998932265,0.000556576894698,13
KDD98 Multiclass 3,STATE,LS Chi Square - Twoing,-1.6236723892144516,13,0.93578322423,-1.5052188423179005,13,0.921913578731,4.163331998932265,0.000556576894698,13
KDD98 Multiclass 3,WALKER,LS Squared Gini - LS Chi Square,None,0,None,None,0,None,None,None,0
KDD98 Multiclass 3,WALKER,LS Squared Gini - Twoing,None,0,None,None,0,None,None,None,0
KDD98 Multiclass 3,WALKER,LS Chi Square - Twoing,None,0,None,None,0,None,None,None,0
KDD98 Multiclass 3,PEPSTRFL,LS Squared Gini - LS Chi Square,0.0,29,100.0,0.0,29,100.0,0.0,100.0,29
KDD98 Multiclass 3,PEPSTRFL,LS Squared Gini - Twoing,0.0,29,100.0,0.0,29,100.0,0.0,100.0,29
KDD98 Multiclass 3,PEPSTRFL,LS Chi Square - Twoing,0.0,29,100.0,0.0,29,100.0,0.0,100.0,29
KDD98 Multiclass 3,COLLECT1,LS Squared Gini - LS Chi Square,None,0,None,None,0,None,None,None,0
KDD98 Multiclass 3,COLLECT1,LS Squared Gini - Twoing,None,0,None,None,0,None,None,None,0
KDD98 Multiclass 3,COLLECT1,LS Chi Square - Twoing,None,0,None,None,0,None,None,None,0
KDD98 Multiclass 3,RFA_17,LS Squared Gini - LS Chi Square,-4.910718572132853,29,0.999983744685,-4.920501934565828,29,0.999984180667,1.09924216318941,0.140352323823,29
KDD98 Multiclass 3,RFA_17,LS Squared Gini - Twoing,0.5784750070275688,29,0.283704627424,0.5745469298905322,29,0.285014142485,-9.355097922676018,0.999999999854,29
KDD98 Multiclass 3,RFA_17,LS Chi Square - Twoing,4.519535435561446,29,4.80988199951e-05,4.515949550409591,29,4.85780152577e-05,-5.756983337031396,0.999998445729,29
KDD98 Multiclass 3,RFA_15,LS Squared Gini - LS Chi Square,0.749557704953828,29,0.229779435833,0.750267962773542,29,0.229568832947,0.8174367039575348,0.210172179317,29
KDD98 Multiclass 3,RFA_15,LS Squared Gini - Twoing,1.5681314171623795,29,0.0638493490835,1.5683971497295728,29,0.0638183524759,-1.5465292035133342,0.93358935298,29
KDD98 Multiclass 3,RFA_15,LS Chi Square - Twoing,1.2622173018508622,29,0.108463737644,1.2622429928466252,29,0.108459182114,-2.2821676218449998,0.984999769593,29
KDD98 Multiclass 3,CDPLAY,LS Squared Gini - LS Chi Square,0.0,8,100.0,0.0,8,100.0,0.0,100.0,8
KDD98 Multiclass 3,CDPLAY,LS Squared Gini - Twoing,0.0,8,100.0,0.0,8,100.0,0.0,100.0,8
KDD98 Multiclass 3,CDPLAY,LS Chi Square - Twoing,0.0,8,100.0,0.0,8,100.0,0.0,100.0,8
KDD98 Multiclass 3,RFA_11,LS Squared Gini - LS Chi Square,-0.9661508693698414,29,0.829021373429,-0.9669577965327696,29,0.829219731747,1.2836382951311762,0.104715467615,29
KDD98 Multiclass 3,RFA_11,LS Squared Gini - Twoing,-1.6212413477008272,29,0.942105067792,-1.6210022427575719,29,0.942079325804,-0.32833929318589655,0.627492888647,29
KDD98 Multiclass 3,RFA_11,LS Chi Square - Twoing,-0.45326627753025295,29,0.673134768487,-0.45318195343311013,29,0.673104767297,-1.6820428926406505,0.948350145444,29
KDD98 Multiclass 3,RFA_14,LS Squared Gini - LS Chi Square,3.1266339032775727,29,0.00199971171521,3.1257763698052208,29,0.00200406102452,-2.7192687088180474,0.99453312458,29
KDD98 Multiclass 3,RFA_14,LS Squared Gini - Twoing,2.7562171899955197,29,0.00500203502417,2.7555233131457078,29,0.00501041272631,-4.557076821005147,0.999956644776,29
KDD98 Multiclass 3,RFA_14,LS Chi Square - Twoing,1.3570727725622118,29,0.0926136962573,1.3575016100976174,29,0.0925463608655,-1.4711149188549517,0.923985616168,29
KDD98 Multiclass 3,RFA_12,LS Squared Gini - LS Chi Square,0.35696252542523305,29,0.361852167132,0.35868808922886447,29,0.36121331679,2.706599064669253,0.00563535778181,29
KDD98 Multiclass 3,RFA_12,LS Squared Gini - Twoing,-1.2528189069223217,29,0.889860002301,-1.258084468074214,29,0.890801540467,-0.11671083285771293,0.546053135961,29
KDD98 Multiclass 3,RFA_12,LS Chi Square - Twoing,-1.3074808178720008,29,0.899339526197,-1.313123442868456,29,0.900281327957,-3.6993381282299564,0.999550470231,29
KDD98 Multiclass 3,RFA_21,LS Squared Gini - LS Chi Square,2.0756087052306142,29,0.023451901564,2.079955373100276,29,0.0232374786929,4.2546340416098625,9.97971471731e-05,29
KDD98 Multiclass 3,RFA_21,LS Squared Gini - Twoing,2.3708068981104264,29,0.0123055257909,2.372268205074211,29,0.0122650510525,-1.2226386877670532,0.884344994902,29
KDD98 Multiclass 3,RFA_21,LS Chi Square - Twoing,0.5220029896524575,29,0.302816446921,0.5203568944343142,29,0.303382540851,-6.528356086977837,0.999999811021,29
KDD98 Multiclass 3,BIBLE,LS Squared Gini - LS Chi Square,None,0,None,None,0,None,None,None,0
KDD98 Multiclass 3,BIBLE,LS Squared Gini - Twoing,None,0,None,None,0,None,None,None,0
KDD98 Multiclass 3,BIBLE,LS Chi Square - Twoing,None,0,None,None,0,None,None,None,0
KDD98 Multiclass 3,CRAFTS,LS Squared Gini - LS Chi Square,0.0,1,100.0,0.0,1,100.0,0.0,100.0,1
