Dataset,Attribute,Criterion Difference Name,Paired t-statistics on Accuracy with Missing Values,Degrees of Freedom of Accuracy with Missing Values,P-value t-statistics on Accuracy with Missing Values,Paired t-statistics on Accuracy without Missing Values,Degrees of Freedom of Accuracy without Missing Values,P-value t-statistics on Accuracy without Missing Values,Paired t-statistics on Number of Nodes,Degrees of Freedom of Number of Nodes,P-value t-statistics on Number of Nodes
KDD98 Multiclass 3,PCOWNERS,Twoing - LS Squared Gini,0.0,26,0.5,0.0,26,0.5,0.0,26,0.5
KDD98 Multiclass 3,PCOWNERS,Twoing - GW Squared Gini,0.0,26,0.5,0.0,26,0.5,0.0,26,0.5
KDD98 Multiclass 3,PCOWNERS,LS Squared Gini - GW Squared Gini,0.0,26,0.5,0.0,26,0.5,0.0,26,0.5
KDD98 Multiclass 3,RFA_6,GW Chi Square - LS Chi Square,0.9213656268103301,29,0.182230717845,0.9212850360593471,29,0.18225139592,0.0,29,0.5
KDD98 Multiclass 3,RFA_6,GW Chi Square - Twoing,5.462583320318473,29,3.50916126812e-06,5.461774555636873,29,3.51703859036e-06,0.0,29,0.5
KDD98 Multiclass 3,RFA_6,GW Chi Square - LS Squared Gini,-0.5781902504634181,29,0.71620054444,-0.5800361196363941,29,0.71681496214,0.0,29,0.5
KDD98 Multiclass 3,RFA_6,GW Chi Square - GW Squared Gini,1.2218810957401802,29,0.115796055254,1.2214755808804647,29,0.115871607709,0.0,29,0.5
KDD98 Multiclass 3,RFA_6,LS Chi Square - Twoing,5.410016418135549,29,4.05991877706e-06,5.409527982789154,29,4.06542376896e-06,0.0,29,0.5
KDD98 Multiclass 3,RFA_6,LS Chi Square - LS Squared Gini,-1.2199383511243453,29,0.883841652817,-1.2219146589845384,29,0.884210196345,0.0,29,0.5
KDD98 Multiclass 3,RFA_6,LS Chi Square - GW Squared Gini,1.1523917455379935,29,0.129285743113,1.1519123458218896,29,0.129382636753,0.0,29,0.5
KDD98 Multiclass 3,RFA_6,Twoing - LS Squared Gini,-5.592175864193818,29,0.999997549209,-5.59194354976409,29,0.999997547632,0.0,29,0.5
KDD98 Multiclass 3,RFA_6,Twoing - GW Squared Gini,-0.9847756572423336,29,0.833560198275,-0.9855723155605784,29,0.833752500538,0.0,29,0.5
KDD98 Multiclass 3,RFA_6,LS Squared Gini - GW Squared Gini,1.2736356857403501,29,0.106453275434,1.273425740071539,29,0.106489983874,0.0,29,0.5
KDD98 Multiclass 3,RFA_19,GW Chi Square - LS Chi Square,-0.6977010146570234,29,0.754539632079,-0.6975625270832745,29,0.754496958675,0.0,29,0.5
KDD98 Multiclass 3,RFA_19,GW Chi Square - Twoing,5.206701630499363,29,7.1400928231e-06,5.2082426303599245,29,7.10958338679e-06,0.0,29,0.5
KDD98 Multiclass 3,RFA_19,GW Chi Square - LS Squared Gini,0.8093238956215945,29,0.212459841336,0.8111944590969088,29,0.211931023028,0.0,29,0.5
KDD98 Multiclass 3,RFA_19,GW Chi Square - GW Squared Gini,-2.0528707265373933,29,0.975397646269,-2.0523402654593976,29,0.975370222213,0.0,29,0.5
KDD98 Multiclass 3,RFA_19,LS Chi Square - Twoing,5.225111103795294,29,6.78403327148e-06,5.226627087182902,29,6.75551767149e-06,0.0,29,0.5
KDD98 Multiclass 3,RFA_19,LS Chi Square - LS Squared Gini,0.8992145857880521,29,0.18797228991,0.9010517255099202,29,0.187491675249,0.0,29,0.5
KDD98 Multiclass 3,RFA_19,LS Chi Square - GW Squared Gini,-1.9552276706975598,29,0.969872771068,-1.9546515156173134,29,0.969837188068,0.0,29,0.5
KDD98 Multiclass 3,RFA_19,Twoing - LS Squared Gini,-3.1701979891461245,29,0.998209754477,-3.167579373906731,29,0.998197780112,0.0,29,0.5
KDD98 Multiclass 3,RFA_19,Twoing - GW Squared Gini,-6.233428327886103,29,0.999999579386,-6.233584177408306,29,0.999999579564,0.0,29,0.5
KDD98 Multiclass 3,RFA_19,LS Squared Gini - GW Squared Gini,-1.7599326124835233,29,0.955517373406,-1.7602555274889504,29,0.955545239075,0.0,29,0.5
KDD98 Multiclass 3,RFA_24,GW Chi Square - LS Chi Square,-1.4471380442164166,29,0.920708790613,-1.4453119006249266,29,0.920454674178,0.0,29,0.5
KDD98 Multiclass 3,RFA_24,GW Chi Square - Twoing,9.434859229304418,29,1.2143508421e-10,9.429541722090972,29,1.22957199977e-10,0.0,29,0.5
KDD98 Multiclass 3,RFA_24,GW Chi Square - LS Squared Gini,2.9922761219225174,29,0.00280307650171,2.9917579290102045,29,0.00280669959793,0.0,29,0.5
KDD98 Multiclass 3,RFA_24,GW Chi Square - GW Squared Gini,2.9870256945982985,29,0.00283999257076,2.986418223083843,29,0.00284429338414,0.0,29,0.5
KDD98 Multiclass 3,RFA_24,LS Chi Square - Twoing,10.242813729607173,29,1.90943927336e-11,10.23879704693975,29,1.92668103693e-11,0.0,29,0.5
KDD98 Multiclass 3,RFA_24,LS Chi Square - LS Squared Gini,3.5811339927163526,29,0.000615406745401,3.581616080795437,29,0.000614622359489,0.0,29,0.5
KDD98 Multiclass 3,RFA_24,LS Chi Square - GW Squared Gini,3.0772351221747187,29,0.00226552163677,3.076482374381514,29,0.0022698214691,0.0,29,0.5
KDD98 Multiclass 3,RFA_24,Twoing - LS Squared Gini,-4.869981721479387,29,0.999981796605,-4.870304675949193,29,0.99998181293,0.0,29,0.5
KDD98 Multiclass 3,RFA_24,Twoing - GW Squared Gini,-1.6923134010811465,29,0.949347368167,-1.690474967679072,29,0.949170058751,0.0,29,0.5
KDD98 Multiclass 3,RFA_24,LS Squared Gini - GW Squared Gini,1.4902807591149658,29,0.0734738380072,1.490097436668337,29,0.0734978109068,0.0,29,0.5
KDD98 Multiclass 3,RFA_22,GW Chi Square - LS Chi Square,1.9350935954701973,29,0.0313926267367,1.9318443127223193,29,0.03160111544,0.0,29,0.5
KDD98 Multiclass 3,RFA_22,GW Chi Square - Twoing,6.768727953195038,29,9.90499472442e-08,6.772499233142559,29,9.80556511543e-08,0.0,29,0.5
KDD98 Multiclass 3,RFA_22,GW Chi Square - LS Squared Gini,-1.578510929796678,29,0.93735225193,-1.57883877061434,29,0.937389900798,0.0,29,0.5
KDD98 Multiclass 3,RFA_22,GW Chi Square - GW Squared Gini,2.779192299634323,29,0.00473193893019,2.7775746806451616,29,0.00475049889053,0.0,29,0.5
KDD98 Multiclass 3,RFA_22,LS Chi Square - Twoing,6.407646735872307,29,2.61950722891e-07,6.410620013597137,29,2.59848194295e-07,0.0,29,0.5
KDD98 Multiclass 3,RFA_22,LS Chi Square - LS Squared Gini,-2.2893746723398,29,0.985237340582,-2.288794847222883,29,0.985218354084,0.0,29,0.5
KDD98 Multiclass 3,RFA_22,LS Chi Square - GW Squared Gini,1.9919609921228025,29,0.027932928813,1.9917322040127068,29,0.027946150577,0.0,29,0.5
KDD98 Multiclass 3,RFA_22,Twoing - LS Squared Gini,-8.094046215065427,29,0.99999999684,-8.096071315612079,29,0.999999996856,0.0,29,0.5
KDD98 Multiclass 3,RFA_22,Twoing - GW Squared Gini,-4.603797572415309,29,0.999961904281,-4.6042260935172825,29,0.999961949462,0.0,29,0.5
KDD98 Multiclass 3,RFA_22,LS Squared Gini - GW Squared Gini,5.2876279886289534,29,5.70247545573e-06,5.288645977500484,29,5.68637537879e-06,0.0,29,0.5
KDD98 Multiclass 3,KIDSTUFF,GW Chi Square - LS Chi Square,0.0,1,0.5,0.0,1,0.5,0.0,1,0.5
KDD98 Multiclass 3,KIDSTUFF,GW Chi Square - Twoing,0.0,1,0.5,0.0,1,0.5,0.0,1,0.5
KDD98 Multiclass 3,KIDSTUFF,GW Chi Square - LS Squared Gini,0.0,1,0.5,0.0,1,0.5,0.0,1,0.5
KDD98 Multiclass 3,KIDSTUFF,GW Chi Square - GW Squared Gini,0.0,1,0.5,0.0,1,0.5,0.0,1,0.5
KDD98 Multiclass 3,KIDSTUFF,LS Chi Square - Twoing,0.0,1,0.5,0.0,1,0.5,0.0,1,0.5
KDD98 Multiclass 3,KIDSTUFF,LS Chi Square - LS Squared Gini,0.0,1,0.5,0.0,1,0.5,0.0,1,0.5
KDD98 Multiclass 3,KIDSTUFF,LS Chi Square - GW Squared Gini,0.0,1,0.5,0.0,1,0.5,0.0,1,0.5
KDD98 Multiclass 3,KIDSTUFF,Twoing - LS Squared Gini,0.0,1,0.5,0.0,1,0.5,0.0,1,0.5
KDD98 Multiclass 3,KIDSTUFF,Twoing - GW Squared Gini,0.0,1,0.5,0.0,1,0.5,0.0,1,0.5
KDD98 Multiclass 3,KIDSTUFF,LS Squared Gini - GW Squared Gini,0.0,1,0.5,0.0,1,0.5,0.0,1,0.5
KDD98 Multiclass 3,RFA_8,GW Chi Square - LS Chi Square,-1.372939525276639,29,0.909852376692,-1.372734191233525,29,0.909820793864,0.0,29,0.5
KDD98 Multiclass 3,RFA_8,GW Chi Square - Twoing,6.605563324858593,29,1.53471513831e-07,6.604693011681747,29,1.53831492322e-07,0.0,29,0.5
KDD98 Multiclass 3,RFA_8,GW Chi Square - LS Squared Gini,1.0264505149831105,29,0.15658267127,1.025954777084562,29,0.156697500273,0.0,29,0.5
