Date Time,Dataset,Use Numeric attributes?,Attribute Name,Is the Attribute Numeric?,Number of Different Values (only for Nominal Attributes),Total Number of Samples,Trial Number,Criterion,Maximum Depth Allowed,Total Number of folds,Fold Number,Is stratified?,Number of Samples Forcing a Leaf,Use Min Samples in Second Largest Class?,Min Samples in Second Largest Class,Uses Chi+AC0-Square Test,Maximum p+AC0-value Allowed by Chi+AC0-Square Test +AFs-between 0 and 1+AF0-,Minimum Number in Second Most Frequent Value,Number of Attributes in Dataset,Number of Valid Attributes in Dataset (m),Number of Valid Nominal Attributes in Dataset (m+AF8-nom),Number of Valid Numeric Attributes in Dataset (m+AF8-num),Total Number of Inversions (pairs),Total Number of Ties (pairs),Total Number of Correct (pairs),Criterion Value in Root Node,Total Time Taken for Current Fold +AFs-s+AF0-,Accuracy Percentage on Trivial Trees (with no splits),Accuracy Percentage (with missing values),Accuracy Percentage (without missing values),Number of Samples Classified using Unkown Value,Percentage of Samples with Unkown Values for Accepted Attribute,Number of Nodes (after prunning),Tree Depth (after prunning),Number of Nodes Pruned
2017+AC0-05+AC0-10 13:09:27.667345,Adult Census Income,False,workclass,False,8,30162,1,Twoing,1,3,1,True,1,False,None,True,0.1,15,15,8,8,0,0.0,28.0,0.0,0.00797964167007,0.15099682699997174,75.10691198408752,75.10691198408752,75.10691198408752,0,0.0,1,0,2
2017+AC0-05+AC0-10 13:09:27.667429,Adult Census Income,False,education,False,16,30162,1,Twoing,1,3,1,True,1,False,None,True,0.1,15,15,8,8,0,0.0,28.0,0.0,0.0393044072746,0.16380566799989538,75.10691198408752,75.10691198408752,75.10691198408752,0,0.0,1,0,2
2017+AC0-05+AC0-10 13:09:27.667456,Adult Census Income,False,marital.status,False,7,30162,1,Twoing,1,3,1,True,1,False,None,True,0.1,15,15,8,8,0,0.0,28.0,0.0,0.0737159580358,0.1611082690000103,75.10691198408752,75.10691198408752,75.10691198408752,0,0.0,1,0,2
2017+AC0-05+AC0-10 13:09:27.667478,Adult Census Income,False,occupation,False,14,30162,1,Twoing,1,3,1,True,1,False,None,True,0.1,15,15,8,8,0,0.0,28.0,0.0,0.0340126655237,0.09990212599996084,75.10691198408752,75.10691198408752,75.10691198408752,0,0.0,1,0,2
2017+AC0-05+AC0-10 13:09:27.667498,Adult Census Income,False,relationship,False,6,30162,1,Twoing,1,3,1,True,1,False,None,True,0.1,15,15,8,8,0,0.0,28.0,0.0,0.0745904804763,0.09232908700005282,75.10691198408752,75.10691198408752,75.10691198408752,0,0.0,1,0,2
2017+AC0-05+AC0-10 13:09:27.667531,Adult Census Income,False,race,False,5,30162,1,Twoing,1,3,1,True,1,False,None,True,0.1,15,15,8,8,0,0.0,28.0,0.0,0.00366983683281,0.12488410200000999,75.10691198408752,75.10691198408752,75.10691198408752,0,0.0,1,0,2
2017+AC0-05+AC0-10 13:09:27.667562,Adult Census Income,False,sex,False,2,30162,1,Twoing,1,3,1,True,1,False,None,True,0.1,15,15,8,8,0,0.0,28.0,0.0,0.0163170717725,0.12745815899995705,75.10691198408752,75.10691198408752,75.10691198408752,0,0.0,1,0,2
2017+AC0-05+AC0-10 13:09:27.667583,Adult Census Income,False,native.country,False,41,30162,1,Twoing,1,3,1,True,1,False,None,True,0.1,15,15,8,8,0,0.0,28.0,0.0,0.00314976924872,0.08901081700003033,75.10691198408752,75.10691198408752,75.10691198408752,0,0.0,1,0,2
2017+AC0-05+AC0-10 13:09:28.416341,Adult Census Income,False,workclass,False,8,30162,1,Twoing,1,3,2,True,1,False,None,True,0.1,15,15,8,8,0,0.0,28.0,0.0,0.00787908279626,0.07962902400004168,75.10443604535509,75.10443604535509,75.10443604535509,0,0.0,1,0,2
2017+AC0-05+AC0-10 13:09:28.416417,Adult Census Income,False,education,False,16,30162,1,Twoing,1,3,2,True,1,False,None,True,0.1,15,15,8,8,0,0.0,28.0,0.0,0.0378367727214,0.08783377499992184,75.10443604535509,75.10443604535509,75.10443604535509,0,0.0,1,0,2
