Date Time,Dataset,Use Numeric attributes?,Attribute Name,Is the Attribute Numeric?,Number of Different Values (only for Nominal Attributes),Total Number of Samples,Trial Number,Criterion,Maximum Depth Allowed,Total Number of folds,Fold Number,Is stratified?,Number of Samples Forcing a Leaf,Use Min Samples in Second Largest Class?,Min Samples in Second Largest Class,Uses Chi-Square Test,Maximum p-value Allowed by Chi-Square Test [between 0 and 1],Minimum Number in Second Most Frequent Value,Number of Attributes in Dataset,Number of Valid Attributes in Dataset (m),Number of Valid Nominal Attributes in Dataset (m_nom),Number of Valid Numeric Attributes in Dataset (m_num),Total Number of Inversions (pairs),Total Number of Ties (pairs),Total Number of Correct (pairs),Criterion Value in Root Node,Total Time Taken for Current Fold [s],Accuracy Percentage on Trivial Trees (with no splits),Accuracy Percentage (with missing values),Accuracy Percentage (without missing values),Number of Samples Classified using Unkown Value,Percentage of Samples with Unkown Values for Accepted Attribute,Number of Nodes (after prunning),Tree Depth (after prunning),Number of Nodes Pruned
2017-05-09 14:48:32.668328,KDD98 Multiclass 5,False,RFA_8,False,86,4843,1,GW Chi Square,4,3,1,True,1,False,None,True,0.1,15,480,37,37,0,75.0,2.0,589.0,672.358782519,16.86905109899817,23.26732673267327,45.2970297029703,45.2912019826518,2,0.12376237623762376,13,4,6
2017-05-09 14:48:32.668356,KDD98 Multiclass 5,False,RFA_9,False,89,4843,1,GW Chi Square,4,3,1,True,1,False,None,True,0.1,15,480,37,37,0,75.0,2.0,589.0,613.186828097,15.92954981199,23.26732673267327,44.18316831683168,44.26534407935524,3,0.18564356435643564,11,3,6
2017-05-09 14:48:32.668383,KDD98 Multiclass 5,False,RFA_10,False,72,4843,1,GW Chi Square,4,3,1,True,1,False,None,True,0.1,15,480,37,37,0,75.0,2.0,589.0,438.276809871,8.635911010031123,23.26732673267327,38.242574257425744,38.28996282527881,2,0.12376237623762376,15,4,4
2017-05-09 14:48:32.668411,KDD98 Multiclass 5,False,RFA_11,False,91,4843,1,GW Chi Square,4,3,1,True,1,False,None,True,0.1,15,480,37,37,0,75.0,2.0,589.0,598.678378645,18.37134753598366,23.26732673267327,44.554455445544555,44.60966542750929,2,0.12376237623762376,13,4,4
2017-05-09 14:48:32.668438,KDD98 Multiclass 5,False,RFA_12,False,95,4843,1,GW Chi Square,4,3,1,True,1,False,None,True,0.1,15,480,37,37,0,75.0,2.0,589.0,625.621763849,17.866693584015593,23.26732673267327,43.56435643564357,43.6183395291202,2,0.12376237623762376,19,4,2
2017-05-09 14:48:32.668465,KDD98 Multiclass 5,False,RFA_13,False,64,4843,1,GW Chi Square,4,3,1,True,1,False,None,True,0.1,15,480,37,37,0,75.0,2.0,589.0,424.884846792,5.710664295998868,23.26732673267327,36.07673267326733,36.024844720496894,6,0.3712871287128713,13,4,2
2017-05-09 14:48:32.668492,KDD98 Multiclass 5,False,RFA_14,False,85,4843,1,GW Chi Square,4,3,1,True,1,False,None,True,0.1,15,480,37,37,0,75.0,2.0,589.0,524.942456407,9.889076063001994,23.26732673267327,40.77970297029703,40.804953560371516,1,0.06188118811881188,11,4,4
2017-05-09 14:48:32.668520,KDD98 Multiclass 5,False,RFA_15,False,32,4843,1,GW Chi Square,4,3,1,True,1,False,None,True,0.1,15,480,37,37,0,75.0,2.0,589.0,291.458806939,0.718513619969599,23.26732673267327,32.301980198019805,32.301980198019805,0,0.0,11,4,2
2017-05-09 14:48:32.668547,KDD98 Multiclass 5,False,RFA_16,False,105,4843,1,GW Chi Square,4,3,1,True,1,False,None,True,0.1,15,480,37,37,0,75.0,2.0,589.0,511.489104229,20.782479899993632,23.26732673267327,40.47029702970297,40.471756672873994,5,0.3094059405940594,11,3,4
2017-05-09 14:48:32.668578,KDD98 Multiclass 5,False,RFA_17,False,103,4843,1,GW Chi Square,4,3,1,True,1,False,None,True,0.1,15,480,37,37,0,75.0,2.0,589.0,464.020906503,14.792607459006831,23.26732673267327,34.46782178217822,34.46782178217822,0,0.0,15,4,4
