2017+AC0-05+AC0-10 01:12:16.108842,KDD98 Multiclass 9,False,RFA+AF8-8,False,86,4843,1,GW Squared Gini,5,3,1,True,1,False,None,True,0.1,15,480,36,36,0,103.0,1.0,526.0,2360295.0,28.156541452975944,19.592088998763906,38.62793572311496,38.67574257425743,2,0.12360939431396786,23,5,16
2017+AC0-05+AC0-10 01:12:16.108870,KDD98 Multiclass 9,False,RFA+AF8-9,False,89,4843,1,GW Squared Gini,5,3,1,True,1,False,None,True,0.1,15,480,36,36,0,103.0,1.0,526.0,2342832.0,33.97483460296644,19.592088998763906,38.0716934487021,38.142414860681114,3,0.18541409147095178,21,5,10
2017+AC0-05+AC0-10 01:12:16.108898,KDD98 Multiclass 9,False,RFA+AF8-10,False,72,4843,1,GW Squared Gini,5,3,1,True,1,False,None,True,0.1,15,480,36,36,0,103.0,1.0,526.0,2071621.0,17.71386573294876,19.592088998763906,32.756489493201485,32.7970297029703,2,0.12360939431396786,11,3,20
2017+AC0-05+AC0-10 01:12:16.108926,KDD98 Multiclass 9,False,RFA+AF8-11,False,91,4843,1,GW Squared Gini,5,3,1,True,1,False,None,True,0.1,15,480,36,36,0,103.0,1.0,526.0,2325637.0,34.21291454997845,19.592088998763906,37.08281829419036,37.12871287128713,2,0.12360939431396786,15,4,8
2017+AC0-05+AC0-10 01:12:16.108953,KDD98 Multiclass 9,False,RFA+AF8-12,False,95,4843,1,GW Squared Gini,5,3,1,True,1,False,None,True,0.1,15,480,36,36,0,103.0,1.0,526.0,2334593.0,35.839011978998315,19.592088998763906,37.39184177997528,37.43811881188119,2,0.12360939431396786,17,5,20
2017+AC0-05+AC0-10 01:12:16.108980,KDD98 Multiclass 9,False,RFA+AF8-13,False,64,4843,1,GW Squared Gini,5,3,1,True,1,False,None,True,0.1,15,480,36,36,0,103.0,1.0,526.0,1978024.0,10.110238971014041,19.592088998763906,31.27317676143387,31.389578163771713,6,0.37082818294190356,17,5,6
2017+AC0-05+AC0-10 01:12:16.109008,KDD98 Multiclass 9,False,RFA+AF8-14,False,85,4843,1,GW Squared Gini,5,3,1,True,1,False,None,True,0.1,15,480,36,36,0,103.0,1.0,526.0,2325408.0,25.988514266966376,19.592088998763906,34.91965389369592,34.941249226963514,1,0.06180469715698393,15,4,16
2017+AC0-05+AC0-10 01:12:16.109035,KDD98 Multiclass 9,False,RFA+AF8-15,False,32,4843,1,GW Squared Gini,5,3,1,True,1,False,None,True,0.1,15,480,36,36,0,103.0,1.0,526.0,2041243.0,4.791485421999823,19.592088998763906,27.37948084054388,27.37948084054388,0,0.0,11,4,12
2017+AC0-05+AC0-10 01:12:16.109062,KDD98 Multiclass 9,False,RFA+AF8-16,False,105,4843,1,GW Squared Gini,5,3,1,True,1,False,None,True,0.1,15,480,36,36,0,103.0,1.0,526.0,2050559.0,36.59515889099566,19.592088998763906,34.857849196538936,35.00931098696462,7,0.4326328800988875,15,4,6
2017+AC0-05+AC0-10 01:12:16.109090,KDD98 Multiclass 9,False,RFA+AF8-17,False,103,4843,1,GW Squared Gini,5,3,1,True,1,False,None,True,0.1,15,480,36,36,0,103.0,1.0,526.0,2168790.0,33.31980721099535,19.592088998763906,29.35723114956737,29.393564356435643,2,0.12360939431396786,15,5,6
2017+AC0-05+AC0-10 01:12:16.109121,KDD98 Multiclass 9,False,RFA+AF8-18,False,109,4843,1,GW Squared Gini,5,3,1,True,1,False,None,True,0.1,15,480,36,36,0,103.0,1.0,526.0,2228847.0,36.71924121200573,19.592088998763906,32.38566131025958,32.465923172242874,4,0.24721878862793573,17,5,14
2017+AC0-05+AC0-10 01:12:16.109150,KDD98 Multiclass 9,False,RFA+AF8-19,False,97,4843,1,GW Squared Gini,5,3,1,True,1,False,None,True,0.1,15,480,36,36,0,103.0,1.0,526.0,2294080.0,35.807445024955086,19.592088998763906,33.065512978986405,33.16800991940484,5,0.30902348578491967,17,4,12
