Date Time,Dataset,Use Numeric attributes?,Attribute Name,Is the Attribute Numeric?,Number of Different Values (only for Nominal Attributes),Total Number of Samples,Trial Number,Criterion,Maximum Depth Allowed,Total Number of folds,Fold Number,Is stratified?,Number of Samples Forcing a Leaf,Use Min Samples in Second Largest Class?,Min Samples in Second Largest Class,Uses Chi-Square Test,Maximum p-value Allowed by Chi-Square Test [between 0 and 1],Minimum Number in Second Most Frequent Value,Number of Attributes in Dataset,Number of Valid Attributes in Dataset (m),Number of Valid Nominal Attributes in Dataset (m_nom),Number of Valid Numeric Attributes in Dataset (m_num),Total Number of Inversions (pairs),Total Number of Ties (pairs),Total Number of Correct (pairs),Criterion Value in Root Node,Total Time Taken for Current Fold [s],Accuracy Percentage on Trivial Trees (with no splits),Accuracy Percentage (with missing values),Accuracy Percentage (without missing values),Number of Samples Classified using Unkown Value,Percentage of Samples with Unkown Values for Accepted Attribute,Number of Nodes (after prunning),Tree Depth (after prunning),Number of Nodes Pruned
2017-05-11 12:10:55.766914,KDD98 Multiclass 5,False,RFA_6,False,92,4843,8,GW Chi Square,4,3,1,True,1,False,None,True,0.1,15,480,39,39,0,78.0,3.0,660.0,633.738425536,34.38604847800161,23.26732673267327,46.28712871287129,46.45522388059702,8,0.49504950495049505,9,3,8
2017-05-11 12:10:55.766935,KDD98 Multiclass 5,False,RFA_7,False,84,4843,8,GW Chi Square,4,3,1,True,1,False,None,True,0.1,15,480,39,39,0,78.0,3.0,660.0,600.814680289,10.051392128007137,23.26732673267327,42.07920792079208,42.17391304347826,6,0.3712871287128713,11,4,6
2017-05-11 12:10:55.766956,KDD98 Multiclass 5,False,RFA_8,False,86,4843,8,GW Chi Square,4,3,1,True,1,False,None,True,0.1,15,480,39,39,0,78.0,3.0,660.0,573.284627963,19.130050666004536,23.26732673267327,46.65841584158416,46.70807453416149,6,0.3712871287128713,15,3,4
2017-05-11 12:10:55.766976,KDD98 Multiclass 5,False,RFA_9,False,89,4843,8,GW Chi Square,4,3,1,True,1,False,None,True,0.1,15,480,39,39,0,78.0,3.0,660.0,635.346016716,15.402493810004671,23.26732673267327,43.31683168316832,43.32712600869026,5,0.3094059405940594,9,3,6
2017-05-11 12:10:55.766997,KDD98 Multiclass 5,False,RFA_10,False,72,4843,8,GW Chi Square,4,3,1,True,1,False,None,True,0.1,15,480,39,39,0,78.0,3.0,660.0,435.125396132,6.227215460996376,23.26732673267327,36.943069306930695,37.011779293242405,3,0.18564356435643564,15,4,0
2017-05-11 12:10:55.767018,KDD98 Multiclass 5,False,RFA_11,False,91,4843,8,GW Chi Square,4,3,1,True,1,False,None,True,0.1,15,480,39,39,0,78.0,3.0,660.0,624.723786243,20.939381247007987,23.26732673267327,44.306930693069305,44.2998760842627,2,0.12376237623762376,13,4,4
2017-05-11 12:10:55.767039,KDD98 Multiclass 5,False,RFA_12,False,95,4843,8,GW Chi Square,4,3,1,True,1,False,None,True,0.1,15,480,39,39,0,78.0,3.0,660.0,477.889080445,26.85322122600337,23.26732673267327,45.11138613861386,45.16129032258065,4,0.24752475247524752,7,2,10
2017-05-11 12:10:55.767059,KDD98 Multiclass 5,False,RFA_13,False,64,4843,8,GW Chi Square,4,3,1,True,1,False,None,True,0.1,15,480,39,39,0,78.0,3.0,660.0,427.419354879,5.805932528004632,23.26732673267327,39.17079207920792,39.10614525139665,5,0.3094059405940594,13,4,2
2017-05-11 12:10:55.767080,KDD98 Multiclass 5,False,RFA_14,False,85,4843,8,GW Chi Square,4,3,1,True,1,False,None,True,0.1,15,480,39,39,0,78.0,3.0,660.0,465.385320939,14.599293113002204,23.26732673267327,40.77970297029703,40.76827757125155,2,0.12376237623762376,15,4,0
2017-05-11 12:10:55.767104,KDD98 Multiclass 5,False,RFA_15,False,32,4843,8,GW Chi Square,4,3,1,True,1,False,None,True,0.1,15,480,39,39,0,78.0,3.0,660.0,296.011183365,1.833122739000828,23.26732673267327,34.777227722772274,34.777227722772274,0,0.0,11,4,2
2017-05-11 12:10:55.767125,KDD98 Multiclass 5,False,RFA_16,False,105,4843,8,GW Chi Square,4,3,1,True,1,False,None,True,0.1,15,480,39,39,0,78.0,3.0,660.0,524.70648575,32.97837794700172,23.26732673267327,40.71782178217822,40.66955982641041,3,0.18564356435643564,19,4,2
2017-05-11 12:10:55.767146,KDD98 Multiclass 5,False,RFA_17,False,103,4843,8,GW Chi Square,4,3,1,True,1,False,None,True,0.1,15,480,39,39,0,78.0,3.0,660.0,437.892499327,16.823456398007693,23.26732673267327,34.59158415841584,34.5747982619491,5,0.3094059405940594,11,3,2
2017-05-11 12:10:55.767167,KDD98 Multiclass 5,False,RFA_18,False,109,4843,8,GW Chi Square,4,3,1,True,1,False,None,True,0.1,15,480,39,39,0,78.0,3.0,660.0,494.58596478,27.171423099003732,23.26732673267327,39.0470297029703,39.01985111662531,4,0.24752475247524752,15,4,0
2017-05-11 12:10:55.767188,KDD98 Multiclass 5,False,RFA_19,False,97,4843,8,GW Chi Square,4,3,1,True,1,False,None,True,0.1,15,480,39,39,0,78.0,3.0,660.0,485.634110015,20.933756532002008,23.26732673267327,38.056930693069305,38.12189054726368,8,0.49504950495049505,11,4,2
2017-05-11 12:10:55.767208,KDD98 Multiclass 5,False,RFA_20,False,68,4843,8,GW Chi Square,4,3,1,True,1,False,None,True,0.1,15,480,39,39,0,78.0,3.0,660.0,265.559082189,7.88555991499743,23.26732673267327,30.25990099009901,30.23543990086741,2,0.12376237623762376,15,4,0
2017-05-11 12:10:55.767229,KDD98 Multiclass 5,False,RFA_21,False,92,4843,8,GW Chi Square,4,3,1,True,1,False,None,True,0.1,15,480,39,39,0,78.0,3.0,660.0,369.453133317,15.274094602005789,23.26732673267327,32.54950495049505,32.56681168427595,7,0.43316831683168316,7,2,4
2017-05-11 12:10:55.767249,KDD98 Multiclass 5,False,RFA_22,False,102,4843,8,GW Chi Square,4,3,1,True,1,False,None,True,0.1,15,480,39,39,0,78.0,3.0,660.0,444.94703697,27.367227540002204,23.26732673267327,37.25247524752475,37.220843672456574,4,0.24752475247524752,9,3,2
2017-05-11 12:10:55.767270,KDD98 Multiclass 5,False,RFA_23,False,58,4843,8,GW Chi Square,4,3,1,True,1,False,None,True,0.1,15,480,39,39,0,78.0,3.0,660.0,272.156571624,2.9112155299953884,23.26732673267327,31.18811881188119,31.15671641791045,8,0.49504950495049505,9,3,0
2017-05-11 12:10:55.767291,KDD98 Multiclass 5,False,RFA_24,False,78,4843,8,GW Chi Square,4,3,1,True,1,False,None,True,0.1,15,480,39,39,0,78.0,3.0,660.0,378.066927299,12.034038393001538,23.26732673267327,34.46782178217822,34.43132380360473,7,0.43316831683168316,11,4,2
2017-05-11 12:10:55.767311,KDD98 Multiclass 5,False,RFA_2A,False,4,4843,8,GW Chi Square,4,3,1,True,1,False,None,True,0.1,15,480,39,39,0,78.0,3.0,660.0,1191.49741456,0.06282413299777545,23.26732673267327,50.06188118811881,50.06188118811881,0,0.0,7,2,0
2017-05-11 12:10:55.767331,KDD98 Multiclass 5,False,GEOCODE2,False,5,4843,8,GW Chi Square,4,3,1,True,1,False,None,True,0.1,15,480,39,39,0,78.0,3.0,660.0,20.258215469,0.0224029300006805,23.26732673267327,22.462871287128714,22.462871287128714,0,0.0,3,1,0
2017-05-11 12:18:50.270785,KDD98 Multiclass 5,False,OSOURCE,False,386,4843,8,GW Chi Square,4,3,2,True,1,False,None,True,0.1,15,480,36,36,0,52.0,6.0,572.0,335.890939266,168.59539956098888,23.28173374613003,22.724458204334365,22.84789644012945,70,4.3343653250774,3,1,0
2017-05-11 12:18:50.270876,KDD98 Multiclass 5,False,STATE,False,48,4843,8,GW Chi Square,4,3,2,True,1,False,None,True,0.1,15,480,36,36,0,52.0,6.0,572.0,56.6470701263,2.142039626996848,23.28173374613003,23.28173374613003,23.28173374613003,0,0.0,1,0,4
2017-05-11 12:18:50.270912,KDD98 Multiclass 5,False,DOMAIN,False,17,4843,8,GW Chi Square,4,3,2,True,1,False,None,True,0.1,15,480,36,36,0,52.0,6.0,572.0,49.2231210091,0.09204445300565567,23.28173374613003,23.90092879256966,23.90092879256966,0,0.0,3,1,0
2017-05-11 12:18:50.270945,KDD98 Multiclass 5,False,AGEFLAG,False,3,4843,8,GW Chi Square,4,3,2,True,1,False,None,True,0.1,15,480,36,36,0,52.0,6.0,572.0,9.49035677035,0.01900593700702302,23.28173374613003,23.28173374613003,23.28173374613003,0,0.0,1,0,2
2017-05-11 12:18:50.270984,KDD98 Multiclass 5,False,CHILD18,False,4,4843,8,GW Chi Square,4,3,2,True,1,False,None,True,0.1,15,480,36,36,0,52.0,6.0,572.0,11.6649818856,0.020846234998316504,23.28173374613003,23.28173374613003,23.28173374613003,0,0.0,1,0,2
2017-05-11 12:18:50.271016,KDD98 Multiclass 5,False,BIBLE,False,2,4843,8,GW Chi Square,4,3,2,True,1,False,None,True,0.1,15,480,36,36,0,52.0,6.0,572.0,8.10203404916,0.017434057997888885,23.28173374613003,23.28173374613003,23.28173374613003,0,0.0,1,0,2
2017-05-11 12:18:50.271043,KDD98 Multiclass 5,False,CATLG,False,2,4843,8,GW Chi Square,4,3,2,True,1,False,None,True,0.1,15,480,36,36,0,52.0,6.0,572.0,10.7529305636,0.018250922992592677,23.28173374613003,23.405572755417957,23.405572755417957,0,0.0,3,1,0
2017-05-11 12:18:50.271072,KDD98 Multiclass 5,False,CRAFTS,False,2,4843,8,GW Chi Square,4,3,2,True,1,False,None,True,0.1,15,480,36,36,0,52.0,6.0,572.0,11.9033841455,0.01823959799367003,23.28173374613003,23.653250773993808,23.653250773993808,0,0.0,3,1,0
2017-05-11 12:18:50.271099,KDD98 Multiclass 5,False,FISHER,False,2,4843,8,GW Chi Square,4,3,2,True,1,False,None,True,0.1,15,480,36,36,0,52.0,6.0,572.0,9.30037589869,0.0182641230057925,23.28173374613003,23.157894736842106,23.157894736842106,0,0.0,3,1,0
2017-05-11 12:18:50.271127,KDD98 Multiclass 5,False,GARDENIN,False,2,4843,8,GW Chi Square,4,3,2,True,1,False,None,True,0.1,15,480,36,36,0,52.0,6.0,572.0,14.1443822347,0.0180481220013462,23.28173374613003,22.41486068111455,22.41486068111455,0,0.0,3,1,0
2017-05-11 12:18:50.271154,KDD98 Multiclass 5,False,PEPSTRFL,False,2,4843,8,GW Chi Square,4,3,2,True,1,False,None,True,0.1,15,480,36,36,0,52.0,6.0,572.0,320.192422352,0.017450295999879017,23.28173374613003,27.678018575851393,27.678018575851393,0,0.0,3,1,0
2017-05-11 12:18:50.271183,KDD98 Multiclass 5,False,RFA_2,False,14,4843,8,GW Chi Square,4,3,2,True,1,False,None,True,0.1,15,480,36,36,0,52.0,6.0,572.0,904.438087811,0.19217644300078973,23.28173374613003,49.28792569659443,49.28792569659443,0,0.0,9,3,6
2017-05-11 12:18:50.271212,KDD98 Multiclass 5,False,RFA_3,False,59,4843,8,GW Chi Square,4,3,2,True,1,False,None,True,0.1,15,480,36,36,0,52.0,6.0,572.0,609.302726081,5.5042846090073,23.28173374613003,47.55417956656347,47.607209446861404,6,0.3715170278637771,13,4,2
2017-05-11 12:18:50.271241,KDD98 Multiclass 5,False,RFA_4,False,57,4843,8,GW Chi Square,4,3,2,True,1,False,None,True,0.1,15,480,36,36,0,52.0,6.0,572.0,723.746141771,3.7455631839984562,23.28173374613003,47.12074303405573,47.2636815920398,7,0.43343653250773995,13,4,2
2017-05-11 12:18:50.271270,KDD98 Multiclass 5,False,RFA_5,False,36,4843,8,GW Chi Square,4,3,2,True,1,False,None,True,0.1,15,480,36,36,0,52.0,6.0,572.0,534.886407877,1.2241484459955245,23.28173374613003,41.362229102167184,41.38785625774474,1,0.06191950464396285,13,3,2
2017-05-11 12:18:50.271298,KDD98 Multiclass 5,False,RFA_6,False,92,4843,8,GW Chi Square,4,3,2,True,1,False,None,True,0.1,15,480,36,36,0,52.0,6.0,572.0,678.736875965,27.67566053698829,23.28173374613003,45.3250773993808,45.49409571162212,6,0.3715170278637771,11,4,8
2017-05-11 12:18:50.271327,KDD98 Multiclass 5,False,RFA_7,False,84,4843,8,GW Chi Square,4,3,2,True,1,False,None,True,0.1,15,480,36,36,0,52.0,6.0,572.0,643.819073723,12.077265365005587,23.28173374613003,41.98142414860681,42.08566108007449,4,0.2476780185758514,15,4,4
2017-05-11 12:18:50.271355,KDD98 Multiclass 5,False,RFA_8,False,86,4843,8,GW Chi Square,4,3,2,True,1,False,None,True,0.1,15,480,36,36,0,52.0,6.0,572.0,698.74061086,13.254023869012599,23.28173374613003,45.696594427244584,45.838509316770185,5,0.30959752321981426,15,4,0
2017-05-11 12:18:50.271384,KDD98 Multiclass 5,False,RFA_9,False,89,4843,8,GW Chi Square,4,3,2,True,1,False,None,True,0.1,15,480,36,36,0,52.0,6.0,572.0,648.729883887,16.345449405998806,23.28173374613003,41.857585139318886,41.857585139318886,0,0.0,11,3,8
2017-05-11 12:18:50.271411,KDD98 Multiclass 5,False,RFA_10,False,72,4843,8,GW Chi Square,4,3,2,True,1,False,None,True,0.1,15,480,36,36,0,52.0,6.0,572.0,448.747244637,6.077968516998226,23.28173374613003,35.294117647058826,35.40372670807454,5,0.30959752321981426,17,4,2
2017-05-11 12:18:50.271444,KDD98 Multiclass 5,False,RFA_11,False,91,4843,8,GW Chi Square,4,3,2,True,1,False,None,True,0.1,15,480,36,36,0,52.0,6.0,572.0,620.770926647,18.6293077020091,23.28173374613003,40.309597523219814,40.309597523219814,0,0.0,13,4,4
2017-05-11 12:18:50.271474,KDD98 Multiclass 5,False,RFA_12,False,95,4843,8,GW Chi Square,4,3,2,True,1,False,None,True,0.1,15,480,36,36,0,52.0,6.0,572.0,632.414083391,20.971030993998284,23.28173374613003,41.1764705882353,41.1764705882353,0,0.0,11,4,6
