Dataset,Attribute,Criterion Difference Name,Paired t-statistics on Accuracy with Missing Values,Degrees of Freedom of Accuracy with Missing Values,P-value t-statistics on Accuracy with Missing Values,Paired t-statistics on Accuracy without Missing Values,Degrees of Freedom of Accuracy without Missing Values,P-value t-statistics on Accuracy without Missing Values,Paired t-statistics on Number of Nodes,Degrees of Freedom of Number of Nodes,P-value t-statistics on Number of Nodes
Nursery with Aggreg,children,LS Chi Square - GW Squared Gini,4.155884623058797,59,5.30827685574e-05,4.155884623058797,59,5.30827685574e-05,-10.539030998019895,59,1.0
Nursery with Aggreg,children,LS Squared Gini - Twoing,-4.108752100269321,59,0.999937777765,-4.108752100269321,59,0.999937777765,18.25211235618558,59,0.0
Nursery with Aggreg,children,LS Squared Gini - GW Chi Square,-3.7871693458179347,59,0.999820304924,-3.7871693458179347,59,0.999820304924,15.114652667206022,59,0.0
Nursery with Aggreg,children,LS Squared Gini - GW Squared Gini,-0.07408300586789894,59,0.529402529263,-0.07408300586789894,59,0.529402529263,3.5813526713410586,59,0.000346191410466
Nursery with Aggreg,children,Twoing - GW Chi Square,1.038173220337762,59,0.151712765547,1.038173220337762,59,0.151712765547,-1.0,59,0.839302860115
Nursery with Aggreg,children,Twoing - GW Squared Gini,4.189965461690658,59,4.72979740259e-05,4.189965461690658,59,4.72979740259e-05,-10.017829764139526,59,1.0
Nursery with Aggreg,children,GW Chi Square - GW Squared Gini,3.8641908081577427,59,0.000139924983799,3.8641908081577427,59,0.000139924983799,-9.359224969223673,59,1.0
Nursery with Aggreg,has_nurs,LS Chi Square - LS Squared Gini,0.0,59,0.5,0.0,59,0.5,-3.8405728739343035,59,0.999848878929
Nursery with Aggreg,has_nurs,LS Chi Square - Twoing,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Nursery with Aggreg,has_nurs,LS Chi Square - GW Chi Square,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Nursery with Aggreg,has_nurs,LS Chi Square - GW Squared Gini,0.0,59,0.5,0.0,59,0.5,-8.322311551799618,59,0.999999999992
Nursery with Aggreg,has_nurs,LS Squared Gini - Twoing,0.0,59,0.5,0.0,59,0.5,3.8405728739343035,59,0.000151121071454
Nursery with Aggreg,has_nurs,LS Squared Gini - GW Chi Square,0.0,59,0.5,0.0,59,0.5,3.8405728739343035,59,0.000151121071454
Nursery with Aggreg,has_nurs,LS Squared Gini - GW Squared Gini,0.0,59,0.5,0.0,59,0.5,-6.536370394265802,59,0.9999999918
Nursery with Aggreg,has_nurs,Twoing - GW Chi Square,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Nursery with Aggreg,has_nurs,Twoing - GW Squared Gini,0.0,59,0.5,0.0,59,0.5,-8.322311551799618,59,0.999999999992
Nursery with Aggreg,has_nurs,GW Chi Square - GW Squared Gini,0.0,59,0.5,0.0,59,0.5,-8.322311551799618,59,0.999999999992
