Dataset,Attribute,Criterion Difference Name,Paired t-statistics on Accuracy with Missing Values,Degrees of Freedom of Accuracy with Missing Values,P-value t-statistics on Accuracy with Missing Values,Paired t-statistics on Accuracy without Missing Values,P-value t-statistics on Accuracy without Missing Values,Degrees of Freedom of Accuracy without Missing Values,Paired t-statistics on Number of Nodes,P-value t-statistics on Number of Nodes,Degrees of Freedom of Number of Nodes
KDD98 Multiclass 3,RFA_20,GW Chi Square - GW Squared Gini,20.58635180654197,29,0.0,20.069040099026576,29,0.0,12.041594578792296,4.16555678839e-13,29
KDD98 Multiclass 3,RFA_6,GW Chi Square - GW Squared Gini,0.9108950803743485,29,0.18493018267,0.9158820858118939,29,0.183641210578,0.0,100.0,29
KDD98 Multiclass 3,RFA_7,GW Chi Square - GW Squared Gini,0.08677711578936076,29,0.465722543949,0.08814011236172135,29,0.46518558188,0.0,100.0,29
KDD98 Multiclass 2,PHOTO,GW Chi Square - GW Squared Gini,None,0,None,None,0,None,None,None,0
KDD98 Multiclass 2,GEOCODE2,GW Chi Square - GW Squared Gini,3.5564073879247005,29,0.000656968062227,3.5564073879247005,29,0.000656968062227,1.7950549357115013,0.0415373327572,29
KDD98 Multiclass 2,RFA_23,GW Chi Square - GW Squared Gini,11.578257617369918,29,1.07502895474e-12,11.58242372047651,29,1.06570308134e-12,0.0,100.0,29
KDD98 Multiclass 2,HOMEOWNR,GW Chi Square - GW Squared Gini,-1.0,9,0.828281801931,-1.0,9,0.828281801931,0.0,100.0,9
KDD98 Multiclass 2,RFA_8,GW Chi Square - GW Squared Gini,-0.5211449813355922,29,0.696888545193,-0.5183406170988588,29,0.695923381823,0.0,100.0,29
KDD98 Multiclass 2,OSOURCE,GW Chi Square - GW Squared Gini,-2.3164793389319165,29,0.986100628139,-2.31808380640986,29,0.98615026611,0.0,100.0,29
KDD98 Multiclass 2,RFA_13,GW Chi Square - GW Squared Gini,4.069902780356023,29,0.000165395754479,4.067398695227395,29,0.000166527895657,0.0,100.0,29
KDD98 Multiclass 2,AGEFLAG,GW Chi Square - GW Squared Gini,-4.743417765907812e-15,11,0.5,-4.743417765907812e-15,11,0.5,0.0,100.0,11
KDD98 Multiclass 2,RFA_16,GW Chi Square - GW Squared Gini,8.98879427044913,29,3.49777873332e-10,8.949356564450078,29,3.84557496957e-10,0.0,100.0,29
KDD98 Multiclass 2,VETERANS,GW Chi Square - GW Squared Gini,None,0,None,None,0,None,None,None,0
KDD98 Multiclass 2,WALKER,GW Chi Square - GW Squared Gini,0.0,7,100.0,0.0,7,100.0,0.0,100.0,7
KDD98 Multiclass 2,STATE,GW Chi Square - GW Squared Gini,-2.575626096329094,27,0.992099975107,-2.5756867939609385,27,0.992101082378,0.0,100.0,27
KDD98 Multiclass 2,RFA_22,GW Chi Square - GW Squared Gini,2.559187136477839,29,0.00798564894578,2.560784001898829,29,0.00795592098139,0.0,100.0,29
KDD98 Multiclass 2,RFA_18,GW Chi Square - GW Squared Gini,5.769353668215313,29,1.50212637828e-06,5.770979373152602,29,1.49540590666e-06,0.0,100.0,29
KDD98 Multiclass 2,CATLG,GW Chi Square - GW Squared Gini,None,0,None,None,0,None,None,None,0
KDD98 Multiclass 2,RFA_2,GW Chi Square - GW Squared Gini,1.2419902966063276,29,0.112095505194,1.2419902966063276,29,0.112095505194,1.0,0.162790994008,29
KDD98 Multiclass 2,RFA_9,GW Chi Square - GW Squared Gini,-4.211551203257679,29,0.999887687567,-4.212384236552099,29,0.999887943647,0.0,100.0,29
