Dataset,Attribute,Criterion,Number of times is statistically better with missing values,Number of times is statistically better without missing values,Number of times has statistically larger number of nodes
Cover Type with Aggreg,soil_type_34,GW Squared Gini,1,1,1
Cover Type with Aggreg,soil_type_35,GW Chi Square,0,0,0
Cover Type with Aggreg,soil_type_35,GW Squared Gini,1,1,1
Cover Type with Aggreg,soil_type_36,GW Chi Square,0,0,0
Cover Type with Aggreg,soil_type_36,GW Squared Gini,1,1,1
Cover Type with Aggreg,soil_type_37,GW Chi Square,0,0,0
Cover Type with Aggreg,soil_type_37,GW Squared Gini,1,1,1
Cover Type with Aggreg,soil_type_38,GW Chi Square,0,0,0
Cover Type with Aggreg,soil_type_38,GW Squared Gini,1,1,1
Cover Type with Aggreg,soil_type_39,GW Chi Square,0,0,0
Cover Type with Aggreg,soil_type_39,GW Squared Gini,1,1,1
Cover Type with Aggreg,soil_type_4,GW Chi Square,0,0,0
Cover Type with Aggreg,soil_type_4,GW Squared Gini,1,1,1
Cover Type with Aggreg,soil_type_40,GW Chi Square,0,0,0
Cover Type with Aggreg,soil_type_40,GW Squared Gini,1,1,1
Cover Type with Aggreg,soil_type_5,GW Chi Square,0,0,0
Cover Type with Aggreg,soil_type_5,GW Squared Gini,1,1,1
Cover Type with Aggreg,soil_type_6,GW Chi Square,0,0,0
Cover Type with Aggreg,soil_type_6,GW Squared Gini,1,1,1
Cover Type with Aggreg,soil_type_8,GW Chi Square,0,0,0
Cover Type with Aggreg,soil_type_8,GW Squared Gini,1,1,1
Cover Type with Aggreg,soil_type_9,GW Chi Square,0,0,0
Cover Type with Aggreg,soil_type_9,GW Squared Gini,1,1,1
Cover Type with Aggreg,soil_type_aggreg,GW Chi Square,0,0,0
Cover Type with Aggreg,soil_type_aggreg,GW Squared Gini,1,1,1
Cover Type with Aggreg,wilderness_area_2,GW Chi Square,0,0,0
Cover Type with Aggreg,wilderness_area_2,GW Squared Gini,1,1,1
Cover Type with Aggreg,wilderness_area_3,GW Chi Square,0,0,0
Cover Type with Aggreg,wilderness_area_3,GW Squared Gini,1,1,1
Cover Type with Aggreg,wilderness_area_4,GW Chi Square,0,0,0
Cover Type with Aggreg,wilderness_area_4,GW Squared Gini,1,1,1
Cover Type with Aggreg,wilderness_area_aggreg,GW Chi Square,1,1,0
Cover Type with Aggreg,wilderness_area_aggreg,GW Squared Gini,0,0,1
KDD98 Multiclass 2,AGEFLAG,GW Chi Square,0,0,0
KDD98 Multiclass 2,AGEFLAG,GW Squared Gini,0,0,1
KDD98 Multiclass 2,BIBLE,GW Chi Square,0,0,1
KDD98 Multiclass 2,BIBLE,GW Squared Gini,0,0,0
KDD98 Multiclass 2,CATLG,GW Chi Square,0,0,1
KDD98 Multiclass 2,CATLG,GW Squared Gini,0,0,0
KDD98 Multiclass 2,CDPLAY,GW Chi Square,0,0,0
KDD98 Multiclass 2,CDPLAY,GW Squared Gini,1,1,1
KDD98 Multiclass 2,DOMAIN,GW Chi Square,0,0,0
KDD98 Multiclass 2,DOMAIN,GW Squared Gini,0,0,1
KDD98 Multiclass 2,FISHER,GW Chi Square,0,0,0
KDD98 Multiclass 2,FISHER,GW Squared Gini,1,1,1
KDD98 Multiclass 2,GARDENIN,GW Chi Square,0,0,0
KDD98 Multiclass 2,GARDENIN,GW Squared Gini,1,1,1
KDD98 Multiclass 2,GEOCODE2,GW Chi Square,1,1,0
KDD98 Multiclass 2,GEOCODE2,GW Squared Gini,0,0,1
KDD98 Multiclass 2,HOMEOWNR,GW Chi Square,0,0,0
KDD98 Multiclass 2,HOMEOWNR,GW Squared Gini,0,0,1
KDD98 Multiclass 2,OSOURCE,GW Chi Square,0,0,0
KDD98 Multiclass 2,OSOURCE,GW Squared Gini,1,1,1
KDD98 Multiclass 2,PCOWNERS,GW Chi Square,0,0,0
KDD98 Multiclass 2,PCOWNERS,GW Squared Gini,1,1,1
KDD98 Multiclass 2,PEPSTRFL,GW Chi Square,0,0,0
KDD98 Multiclass 2,PEPSTRFL,GW Squared Gini,1,1,1
KDD98 Multiclass 2,PETS,GW Chi Square,0,0,0
KDD98 Multiclass 2,PETS,GW Squared Gini,1,1,1
KDD98 Multiclass 2,PHOTO,GW Chi Square,0,0,1
KDD98 Multiclass 2,PHOTO,GW Squared Gini,0,0,0
KDD98 Multiclass 2,RECINHSE,GW Chi Square,0,0,0
KDD98 Multiclass 2,RECINHSE,GW Squared Gini,1,1,1
KDD98 Multiclass 2,RFA_10,GW Chi Square,1,1,0
KDD98 Multiclass 2,RFA_10,GW Squared Gini,0,0,1
KDD98 Multiclass 2,RFA_11,GW Chi Square,0,0,0
KDD98 Multiclass 2,RFA_11,GW Squared Gini,0,0,1
KDD98 Multiclass 2,RFA_12,GW Chi Square,0,0,0
