Dataset,Attribute,Criterion,Number of times is statistically better with missing values,Number of times is statistically better without missing values,Number of times has statistically larger number of nodes
KDD98 Multiclass 9,PCOWNERS,GW Squared Gini,1,1,1
KDD98 Multiclass 9,PEPSTRFL,GW Chi Square,0,0,0
KDD98 Multiclass 9,PEPSTRFL,GW Squared Gini,1,1,1
KDD98 Multiclass 9,PETS,GW Chi Square,0,0,0
KDD98 Multiclass 9,PETS,GW Squared Gini,1,1,1
KDD98 Multiclass 9,RECINHSE,GW Chi Square,0,0,0
KDD98 Multiclass 9,RECINHSE,GW Squared Gini,1,1,1
KDD98 Multiclass 9,RECP3,GW Chi Square,0,0,0
KDD98 Multiclass 9,RECP3,GW Squared Gini,1,1,1
KDD98 Multiclass 9,RFA_10,GW Chi Square,0,0,0
KDD98 Multiclass 9,RFA_10,GW Squared Gini,0,0,1
KDD98 Multiclass 9,RFA_11,GW Chi Square,0,0,0
KDD98 Multiclass 9,RFA_11,GW Squared Gini,1,1,1
KDD98 Multiclass 9,RFA_12,GW Chi Square,0,0,0
KDD98 Multiclass 9,RFA_12,GW Squared Gini,0,0,1
KDD98 Multiclass 9,RFA_13,GW Chi Square,1,1,0
KDD98 Multiclass 9,RFA_13,GW Squared Gini,0,0,1
KDD98 Multiclass 9,RFA_14,GW Chi Square,0,0,0
KDD98 Multiclass 9,RFA_14,GW Squared Gini,0,0,1
KDD98 Multiclass 9,RFA_15,GW Chi Square,1,1,0
KDD98 Multiclass 9,RFA_15,GW Squared Gini,0,0,1
KDD98 Multiclass 9,RFA_16,GW Chi Square,0,0,0
KDD98 Multiclass 9,RFA_16,GW Squared Gini,0,0,1
KDD98 Multiclass 9,RFA_17,GW Chi Square,0,0,0
KDD98 Multiclass 9,RFA_17,GW Squared Gini,0,0,1
KDD98 Multiclass 9,RFA_18,GW Chi Square,1,1,0
KDD98 Multiclass 9,RFA_18,GW Squared Gini,0,0,1
KDD98 Multiclass 9,RFA_19,GW Chi Square,0,0,0
KDD98 Multiclass 9,RFA_19,GW Squared Gini,0,0,1
KDD98 Multiclass 9,RFA_2,GW Chi Square,0,0,0
KDD98 Multiclass 9,RFA_2,GW Squared Gini,0,0,1
KDD98 Multiclass 9,RFA_20,GW Chi Square,1,1,0
KDD98 Multiclass 9,RFA_20,GW Squared Gini,0,0,1
KDD98 Multiclass 9,RFA_21,GW Chi Square,1,1,0
KDD98 Multiclass 9,RFA_21,GW Squared Gini,0,0,1
KDD98 Multiclass 9,RFA_22,GW Chi Square,1,1,0
KDD98 Multiclass 9,RFA_22,GW Squared Gini,0,0,1
KDD98 Multiclass 9,RFA_23,GW Chi Square,1,1,0
KDD98 Multiclass 9,RFA_23,GW Squared Gini,0,0,1
KDD98 Multiclass 9,RFA_24,GW Chi Square,0,0,0
KDD98 Multiclass 9,RFA_24,GW Squared Gini,0,0,1
KDD98 Multiclass 9,RFA_2A,GW Chi Square,1,1,0
KDD98 Multiclass 9,RFA_2A,GW Squared Gini,0,0,1
KDD98 Multiclass 9,RFA_3,GW Chi Square,1,1,0
KDD98 Multiclass 9,RFA_3,GW Squared Gini,0,0,1
KDD98 Multiclass 9,RFA_4,GW Chi Square,0,0,0
KDD98 Multiclass 9,RFA_4,GW Squared Gini,0,0,1
KDD98 Multiclass 9,RFA_5,GW Chi Square,0,0,0
KDD98 Multiclass 9,RFA_5,GW Squared Gini,0,0,1
KDD98 Multiclass 9,RFA_6,GW Chi Square,0,0,0
KDD98 Multiclass 9,RFA_6,GW Squared Gini,0,0,1
KDD98 Multiclass 9,RFA_7,GW Chi Square,0,0,0
KDD98 Multiclass 9,RFA_7,GW Squared Gini,1,1,1
KDD98 Multiclass 9,RFA_8,GW Chi Square,0,0,0
KDD98 Multiclass 9,RFA_8,GW Squared Gini,1,1,1
KDD98 Multiclass 9,RFA_9,GW Chi Square,0,0,0
KDD98 Multiclass 9,RFA_9,GW Squared Gini,1,1,1
KDD98 Multiclass 9,STATE,GW Chi Square,0,0,1
KDD98 Multiclass 9,STATE,GW Squared Gini,0,0,0
KDD98 Multiclass 9,STEREO,GW Chi Square,0,0,0
KDD98 Multiclass 9,STEREO,GW Squared Gini,1,1,1
KDD98 Multiclass 9,VETERANS,GW Chi Square,0,0,0
KDD98 Multiclass 9,VETERANS,GW Squared Gini,1,1,1
KDD98 Multiclass 9,WALKER,GW Chi Square,0,0,0
KDD98 Multiclass 9,WALKER,GW Squared Gini,1,1,1
Mushroom,bruises?,GW Chi Square,0,0,0
Mushroom,bruises?,GW Squared Gini,1,1,1
Mushroom,cap-color,GW Chi Square,0,0,0
Mushroom,cap-color,GW Squared Gini,1,1,1
Mushroom,cap-shape,GW Chi Square,0,0,0
Mushroom,cap-shape,GW Squared Gini,1,1,1
Mushroom,cap-surface,GW Chi Square,0,0,0
Mushroom,cap-surface,GW Squared Gini,1,1,1
Mushroom,gill-color,GW Chi Square,0,0,0
Mushroom,gill-color,GW Squared Gini,1,1,1
Mushroom,gill-size,GW Chi Square,0,0,0
Mushroom,gill-size,GW Squared Gini,1,1,1
Mushroom,gill-spacing,GW Chi Square,0,0,0
Mushroom,gill-spacing,GW Squared Gini,1,1,1
Mushroom,habitat,GW Chi Square,1,1,0
Mushroom,habitat,GW Squared Gini,0,0,1
Mushroom,odor,GW Chi Square,0,0,0
Mushroom,odor,GW Squared Gini,1,1,1
Mushroom,population,GW Chi Square,0,0,0
Mushroom,population,GW Squared Gini,0,0,1
Mushroom,ring-number,GW Chi Square,0,0,0
Mushroom,ring-number,GW Squared Gini,1,1,1
Mushroom,ring-type,GW Chi Square,0,0,0
Mushroom,ring-type,GW Squared Gini,1,1,1
Mushroom,spore-print-color,GW Chi Square,1,1,0
Mushroom,spore-print-color,GW Squared Gini,0,0,1
Mushroom,stalk-color-above-ring,GW Chi Square,1,1,0
Mushroom,stalk-color-above-ring,GW Squared Gini,0,0,1
Mushroom,stalk-color-below-ring,GW Chi Square,1,1,0
Mushroom,stalk-color-below-ring,GW Squared Gini,0,0,1
Mushroom,stalk-root,GW Chi Square,0,0,0
Mushroom,stalk-root,GW Squared Gini,1,1,1
Mushroom,stalk-shape,GW Chi Square,0,0,0
Mushroom,stalk-shape,GW Squared Gini,1,1,1
Mushroom,stalk-surface-above-ring,GW Chi Square,1,1,0
Mushroom,stalk-surface-above-ring,GW Squared Gini,0,0,1
Mushroom,stalk-surface-below-ring,GW Chi Square,1,1,0
Mushroom,stalk-surface-below-ring,GW Squared Gini,0,0,1
Nursery with Aggreg,NewAttrib1,GW Chi Square,0,0,0
Nursery with Aggreg,NewAttrib1,GW Squared Gini,1,1,1
Nursery with Aggreg,NewAttrib2,GW Chi Square,1,1,0
Nursery with Aggreg,NewAttrib2,GW Squared Gini,0,0,1
Nursery with Aggreg,NewAttrib3,GW Chi Square,1,1,0
Nursery with Aggreg,NewAttrib3,GW Squared Gini,0,0,1
Nursery with Aggreg,finance,GW Chi Square,0,0,0
Nursery with Aggreg,finance,GW Squared Gini,1,1,1
Nursery with Aggreg,form,GW Chi Square,0,0,0
Nursery with Aggreg,form,GW Squared Gini,0,0,1
Nursery with Aggreg,has_nurs,GW Chi Square,0,0,0
Nursery with Aggreg,has_nurs,GW Squared Gini,0,0,1
Nursery with Aggreg,health,GW Chi Square,1,1,0
Nursery with Aggreg,health,GW Squared Gini,0,0,1
Nursery with Aggreg,housing,GW Chi Square,1,1,0
Nursery with Aggreg,housing,GW Squared Gini,0,0,1
Nursery with Aggreg,parents,GW Chi Square,0,0,0
Nursery with Aggreg,parents,GW Squared Gini,1,1,1
Nursery with Aggreg,social,GW Chi Square,0,0,0
Nursery with Aggreg,social,GW Squared Gini,0,0,1
