Dataset,Attribute,Criterion Difference Name,Paired t-statistics on Accuracy with Missing Values,Degrees of Freedom of Accuracy with Missing Values,P-value t-statistics on Accuracy with Missing Values,Paired t-statistics on Accuracy without Missing Values,Degrees of Freedom of Accuracy without Missing Values,P-value t-statistics on Accuracy without Missing Values,Paired t-statistics on Number of Nodes,Degrees of Freedom of Number of Nodes,P-value t-statistics on Number of Nodes
Contraceptive with Aggreg,None,Twoing - LS Chi Square,-1.6156672412378927,19,0.938675055896,-1.57747712880008,19,0.934404890848,-2.586570064065008,19,0.990951973338
Contraceptive with Aggreg,None,Twoing - LS Squared Gini,-3.52541790835802,19,0.998869479238,-3.5274384384489545,19,0.99887465494,-4.7304987494731305,19,0.999927222089
Contraceptive with Aggreg,None,Twoing - GW Squared Gini,-2.90432266554536,19,0.995454047684,-2.9141073613530577,19,0.995550814183,-5.690957540763133,19,0.999991297027
Contraceptive with Aggreg,None,Twoing - GW Chi Square,-0.8903363558774519,19,0.807789625362,-0.7776762714222735,19,0.77683200837,-3.8287678579673554,19,0.999433560029
Contraceptive with Aggreg,None,LS Chi Square - LS Squared Gini,-1.8733879275257244,19,0.961759212495,-2.0037509876268933,19,0.970216845679,-2.092457497396436,19,0.974971970596
Contraceptive with Aggreg,None,LS Chi Square - GW Squared Gini,-1.810137797597191,19,0.956939733187,-1.963393017294216,19,0.967796757498,-3.8200100116467164,19,0.999422120899
Contraceptive with Aggreg,None,LS Chi Square - GW Chi Square,0.8718209618627438,19,0.197094829245,0.8822578722642503,19,0.194331609461,-1.0054142247281506,19,0.836334497426
Contraceptive with Aggreg,None,LS Squared Gini - GW Squared Gini,0.08761192131982087,19,0.465550966167,0.0036095074751131355,19,0.498578832566,-1.829243124442362,19,0.958448626769
Contraceptive with Aggreg,None,LS Squared Gini - GW Chi Square,2.4727934961618487,19,0.0115107106213,2.539472043227128,19,0.0100002361618,1.5324211584318375,19,0.0709503054374
Contraceptive with Aggreg,None,GW Squared Gini - GW Chi Square,2.5693989268677613,19,0.0093848140782,2.729534131374028,19,0.00665608484551,3.1243347916032747,19,0.00279183031981
Nursery,None,Twoing - LS Chi Square,3.3221597503467817,19,0.00179095802266,3.3221597503467817,19,0.00179095802266,0.0,19,0.5
Nursery,None,Twoing - LS Squared Gini,-1.4734096695730319,19,0.921492302869,-1.4734096695730319,19,0.921492302869,1.831103813679221,19,0.0414069212923
Nursery,None,Twoing - GW Squared Gini,2.2105790908412004,19,0.0197640860217,2.2105790908412004,19,0.0197640860217,-16.222687381234405,19,0.999999999999
Nursery,None,Twoing - GW Chi Square,2.876023214643685,19,0.00483736431586,2.876023214643685,19,0.00483736431586,-16.403980770654453,19,0.999999999999
Nursery,None,LS Chi Square - LS Squared Gini,-2.2779314909370765,19,0.982762817911,-2.2779314909370765,19,0.982762817911,1.831103813679221,19,0.0414069212923
Nursery,None,LS Chi Square - GW Squared Gini,1.6622735454524606,19,0.0564338940119,1.6622735454524606,19,0.0564338940119,-16.222687381234405,19,0.999999999999
Nursery,None,LS Chi Square - GW Chi Square,-1.0,19,0.835061599539,-1.0,19,0.835061599539,-16.403980770654453,19,0.999999999999
Nursery,None,LS Squared Gini - GW Squared Gini,2.498044128567286,19,0.0109151113345,2.498044128567286,19,0.0109151113345,-15.91715793545738,19,0.999999999999
Nursery,None,LS Squared Gini - GW Chi Square,2.2486528799250944,19,0.0182967050458,2.2486528799250944,19,0.0182967050458,-16.832051088211337,19,1.0
Nursery,None,GW Squared Gini - GW Chi Square,-1.717884515856022,19,0.948963834157,-1.717884515856022,19,0.948963834157,1.4750178904777114,19,0.0782933126884
Cars with Aggreg,None,Twoing - LS Chi Square,-11.60171764334382,19,0.999999999771,-11.60171764334382,19,0.999999999771,-55.198814216288746,19,1.0
Cars with Aggreg,None,Twoing - LS Squared Gini,-3.0459904530835145,19,0.996676048712,-3.0459904530835145,19,0.996676048712,-42.332209313202625,19,1.0
Cars with Aggreg,None,Twoing - GW Squared Gini,-2.376926531402013,19,0.985939701306,-2.376926531402013,19,0.985939701306,-43.789039724497876,19,1.0
Cars with Aggreg,None,Twoing - GW Chi Square,-7.933258966612778,19,0.99999990512,-7.933258966612778,19,0.99999990512,-38.11560585950752,19,1.0
Cars with Aggreg,None,LS Chi Square - LS Squared Gini,6.3728644136506505,19,2.05267199493e-06,6.3728644136506505,19,2.05267199493e-06,-30.788261074535267,19,1.0
Cars with Aggreg,None,LS Chi Square - GW Squared Gini,6.57885131363112,19,1.34253764827e-06,6.57885131363112,19,1.34253764827e-06,-28.301943396203285,19,1.0
Cars with Aggreg,None,LS Chi Square - GW Chi Square,2.9065086886281715,19,0.00452415914682,2.9065086886281715,19,0.00452415914682,1.9259188317987022,19,0.0346057619897
Cars with Aggreg,None,LS Squared Gini - GW Squared Gini,0.08819502603362847,19,0.46532231207,0.08819502603362847,19,0.46532231207,2.1269248984829967,19,0.0233736885561
Cars with Aggreg,None,LS Squared Gini - GW Chi Square,-3.6177395496871743,19,0.999083530083,-3.6177395496871743,19,0.999083530083,26.814893788813684,19,1.11022302463e-16
