Dataset,Attribute,Criterion Difference Name,Paired t-statistics on Accuracy with Missing Values,Degrees of Freedom of Accuracy with Missing Values,P-value t-statistics on Accuracy with Missing Values,Paired t-statistics on Accuracy without Missing Values,Degrees of Freedom of Accuracy without Missing Values,P-value t-statistics on Accuracy without Missing Values,Paired t-statistics on Number of Nodes,Degrees of Freedom of Number of Nodes,P-value t-statistics on Number of Nodes
Cover Type,wilderness_area_3,Twoing - LS Chi Square,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Cover Type,wilderness_area_3,LS Squared Gini - LS Chi Square,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Cover Type,soil_type_27,Twoing - LS Squared Gini,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Cover Type,soil_type_27,Twoing - LS Chi Square,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Cover Type,soil_type_27,LS Squared Gini - LS Chi Square,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Cover Type,soil_type_12,Twoing - LS Squared Gini,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Cover Type,soil_type_12,Twoing - LS Chi Square,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Cover Type,soil_type_12,LS Squared Gini - LS Chi Square,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Cover Type,soil_type_35,Twoing - LS Squared Gini,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Cover Type,soil_type_35,Twoing - LS Chi Square,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Cover Type,soil_type_35,LS Squared Gini - LS Chi Square,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Cover Type,soil_type_25,Twoing - LS Squared Gini,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Cover Type,soil_type_25,Twoing - LS Chi Square,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Cover Type,soil_type_25,LS Squared Gini - LS Chi Square,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Cover Type,soil_type_8,Twoing - LS Squared Gini,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Cover Type,soil_type_8,Twoing - LS Chi Square,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Cover Type,soil_type_8,LS Squared Gini - LS Chi Square,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Cover Type,soil_type_37,Twoing - LS Squared Gini,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Cover Type,soil_type_37,Twoing - LS Chi Square,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Cover Type,soil_type_37,LS Squared Gini - LS Chi Square,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Cover Type,wilderness_area_4,Twoing - LS Squared Gini,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Cover Type,wilderness_area_4,Twoing - LS Chi Square,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Cover Type,wilderness_area_4,LS Squared Gini - LS Chi Square,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Cover Type,soil_type_26,Twoing - LS Squared Gini,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Cover Type,soil_type_26,Twoing - LS Chi Square,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Cover Type,soil_type_26,LS Squared Gini - LS Chi Square,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Cover Type,soil_type_31,Twoing - LS Squared Gini,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Cover Type,soil_type_31,Twoing - LS Chi Square,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Cover Type,soil_type_31,LS Squared Gini - LS Chi Square,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Cover Type,soil_type_28,Twoing - LS Squared Gini,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Cover Type,soil_type_28,Twoing - LS Chi Square,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Cover Type,soil_type_28,LS Squared Gini - LS Chi Square,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Cover Type,soil_type_21,Twoing - LS Squared Gini,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Cover Type,soil_type_21,Twoing - LS Chi Square,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Cover Type,soil_type_21,LS Squared Gini - LS Chi Square,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Cover Type,soil_type_29,Twoing - LS Squared Gini,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Cover Type,soil_type_29,Twoing - LS Chi Square,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Cover Type,soil_type_29,LS Squared Gini - LS Chi Square,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Cover Type,wilderness_area_2,Twoing - LS Squared Gini,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Cover Type,wilderness_area_2,Twoing - LS Chi Square,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Cover Type,wilderness_area_2,LS Squared Gini - LS Chi Square,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Cover Type,soil_type_14,Twoing - LS Squared Gini,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Cover Type,soil_type_14,Twoing - LS Chi Square,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Cover Type,soil_type_14,LS Squared Gini - LS Chi Square,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Cover Type,soil_type_5,Twoing - LS Squared Gini,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Cover Type,soil_type_5,Twoing - LS Chi Square,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Cover Type,soil_type_5,LS Squared Gini - LS Chi Square,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Cover Type,soil_type_19,Twoing - LS Squared Gini,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Cover Type,soil_type_19,Twoing - LS Chi Square,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Cover Type,soil_type_19,LS Squared Gini - LS Chi Square,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Cover Type,soil_type_22,Twoing - LS Squared Gini,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Cover Type,soil_type_22,Twoing - LS Chi Square,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Cover Type,soil_type_22,LS Squared Gini - LS Chi Square,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Cover Type,soil_type_20,Twoing - LS Squared Gini,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Cover Type,soil_type_20,Twoing - LS Chi Square,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Cover Type,soil_type_20,LS Squared Gini - LS Chi Square,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Cover Type,soil_type_4,Twoing - LS Squared Gini,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Cover Type,soil_type_4,Twoing - LS Chi Square,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Cover Type,soil_type_4,LS Squared Gini - LS Chi Square,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Cover Type,soil_type_3,Twoing - LS Squared Gini,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
Cover Type,soil_type_3,Twoing - LS Chi Square,0.0,59,0.5,0.0,59,0.5,0.0,59,0.5
